date,number,class,length,specific weight,group
3/25/2023,89,2,1594,14.93326457,Cladoceran
3/25/2023,90,2,1445,11.61572593,Cladoceran
3/25/2023,93,2,1912,23.78995721,Cladoceran
3/25/2023,96,2,1205,7.29644827,Cladoceran
5/16/2023,1,2,851,2.995051824,Cladoceran
5/16/2023,2,2,1216,7.468177294,Cladoceran
5/16/2023,4,2,1009,4.631760058,Cladoceran
5/16/2023,5,2,955,4.023400809,Cladoceran
5/16/2023,6,2,998,4.503590075,Cladoceran
5/16/2023,8,2,822,2.740668578,Cladoceran
5/16/2023,9,2,1087,5.604440987,Cladoceran
5/16/2023,11,2,1039,4.992527542,Cladoceran
5/16/2023,15,2,833,2.835540608,Cladoceran
5/16/2023,18,2,1050,5.128959542,Cladoceran
5/16/2023,20,2,1171,6.780946518,Cladoceran
5/16/2023,23,2,813,2.664504539,Cladoceran
5/16/2023,24,2,1036,4.95570723,Cladoceran
5/16/2023,29,2,1076,5.460395276,Cladoceran
5/16/2023,32,2,1018,4.738260998,Cladoceran
5/16/2023,42,2,1642,16.11164703,Cladoceran
5/16/2023,46,2,708,1.870121432,Cladoceran
5/16/2023,48,2,1470,12.13715909,Cladoceran
5/16/2023,50,2,799,2.548616103,Cladoceran
5/16/2023,58,2,1616,15.46658883,Cladoceran
5/16/2023,66,2,1625,15.68806149,Cladoceran
5/16/2023,67,2,1142,6.359308498,Cladoceran
5/16/2023,70,2,1029,4.870438088,Cladoceran
5/16/2023,71,2,1631,15.83677724,Cladoceran
5/16/2023,73,2,1019,4.750185599,Cladoceran
5/16/2023,75,2,1128,6.161634923,Cladoceran
5/16/2023,82,2,1101,5.791088531,Cladoceran
5/16/2023,89,2,973,4.220399265,Cladoceran
5/16/2023,90,2,707,1.863366859,Cladoceran
5/16/2023,94,2,1637,15.98634889,Cladoceran
5/16/2023,98,2,1511,13.0227198,Cladoceran
6/21/2023,11,2,84,0.007978838,Cladoceran
6/21/2023,20,2,902,3.476269226,Cladoceran
6/21/2023,30,2,1504,12.86883192,Cladoceran
6/21/2023,39,2,1498,12.7378142,Cladoceran
6/21/2023,79,2,868,3.150613751,Cladoceran
8/24/2023,5,2,648,1.490790727,Cladoceran
8/24/2023,76,2,843,2.923501081,Cladoceran
8/24/2023,77,2,864,3.113578706,Cladoceran
8/24/2023,94,2,405,0.44757882,Cladoceran
9/20/2022,3,3,978,6.683439727,Copepod
9/20/2022,25,3,861,4.923224991,Copepod
9/20/2022,46,3,642,2.434745969,Copepod
9/20/2022,77,3,1307,13.40053871,Copepod
3/25/2023,3,3,1017,7.340744176,Copepod
3/25/2023,18,3,1230,11.58402498,Copepod
3/25/2023,38,3,1287,12.9138595,Copepod
3/25/2023,91,3,804,4.177210722,Copepod
3/25/2023,95,3,1215,11.24800793,Copepod
3/25/2023,97,3,792,4.029200079,Copepod
5/16/2023,62,3,982,6.749204422,Copepod
5/16/2023,77,3,815,4.31563023,Copepod
6/21/2023,4,3,1492,18.40977708,Copepod
6/21/2023,53,3,1250,12.0410468,Copepod
6/21/2023,76,3,835,4.574071803,Copepod
9/20/2022,12,4,278,0.326919321,Copepod
9/20/2022,99,4,666,2.658837522,Copepod
10/13/2022,2,4,541,1.614794874,Copepod
10/13/2022,22,4,530,1.537145345,Copepod
10/13/2022,25,4,588,1.972029142,Copepod
10/13/2022,37,4,340,0.529901373,Copepod
10/13/2022,41,4,593,2.012497421,Copepod
10/13/2022,46,4,572,1.845738606,Copepod
10/13/2022,56,4,1433,16.71135765,Copepod
10/13/2022,65,4,574,1.861258753,Copepod
10/13/2022,77,4,589,1.98008446,Copepod
10/13/2022,80,4,475,1.181857438,Copepod
10/13/2022,85,4,280,0.332590041,Copepod
10/13/2022,100,4,330,0.493278362,Copepod
3/25/2023,4,4,779,3.872357849,Copepod
3/25/2023,6,4,551,1.687329148,Copepod
3/25/2023,14,4,794,4.05365243,Copepod
3/25/2023,17,4,347,0.556451776,Copepod
3/25/2023,19,4,553,1.702059403,Copepod
3/25/2023,20,4,583,1.932039432,Copepod
3/25/2023,23,4,843,4.679909714,Copepod
3/25/2023,24,4,570,1.830294193,Copepod
3/25/2023,35,4,991,6.898550062,Copepod
3/25/2023,37,4,690,2.894516915,Copepod
3/25/2023,51,4,707,3.06855772,Copepod
3/25/2023,52,4,1125,9.351731399,Copepod
3/25/2023,53,4,794,4.05365243,Copepod
3/25/2023,59,4,657,2.573454207,Copepod
3/25/2023,60,4,543,1.629153157,Copepod
3/25/2023,62,4,721,3.216353859,Copepod
3/25/2023,66,4,740,3.423450232,Copepod
3/25/2023,68,4,1226,11.49385625,Copepod
3/25/2023,72,4,942,6.108368642,Copepod
3/25/2023,73,4,946,6.170778524,Copepod
3/25/2023,75,4,589,1.98008446,Copepod
3/25/2023,84,4,527,1.516354656,Copepod
3/25/2023,86,4,300,0.392456036,Copepod
3/25/2023,100,4,1010,7.220114733,Copepod
5/16/2023,3,4,611,2.162170743,Copepod
5/16/2023,12,4,296,0.380019549,Copepod
5/16/2023,21,4,420,0.879735608,Copepod
5/16/2023,22,4,462,1.105740515,Copepod
5/16/2023,30,4,309,0.421296174,Copepod
5/16/2023,43,4,409,0.825470085,Copepod
5/16/2023,49,4,450,1.038087457,Copepod
5/16/2023,52,4,289,0.358815378,Copepod
5/16/2023,65,4,264,0.288805157,Copepod
5/16/2023,76,4,445,1.010631405,Copepod
5/16/2023,78,4,355,0.587726052,Copepod
5/16/2023,81,4,295,0.376946868,Copepod
5/16/2023,92,4,287,0.352887109,Copepod
6/21/2023,1,4,272,0.310247238,Copepod
6/21/2023,21,4,553,1.702059403,Copepod
6/21/2023,24,4,429,0.925640114,Copepod
6/21/2023,41,4,397,0.768556056,Copepod
6/21/2023,55,4,847,4.733358781,Copepod
6/21/2023,61,4,1397,15.72183744,Copepod
8/24/2023,31,4,475,1.181857438,Copepod
8/24/2023,34,4,279,0.329747572,Copepod
8/24/2023,61,4,439,0.978249213,Copepod
8/24/2023,100,4,226,0.198922207,Copepod
9/20/2022,1,5,118,0.041842927,Copepod
9/20/2022,4,5,222,0.190580257,Copepod
9/20/2022,6,5,184,0.121471692,Copepod
9/20/2022,7,5,173,0.104773083,Copepod
9/20/2022,10,5,234,0.216234987,Copepod
9/20/2022,16,5,152,0.076810376,Copepod
9/20/2022,17,5,176,0.109184757,Copepod
9/20/2022,22,5,295,0.376946868,Copepod
9/20/2022,47,5,143,0.066348067,Copepod
9/20/2022,53,5,217,0.180444656,Copepod
9/20/2022,58,5,302,0.398762013,Copepod
9/20/2022,60,5,288,0.355844044,Copepod
9/20/2022,62,5,153,0.07802825,Copepod
9/20/2022,66,5,174,0.106231856,Copepod
9/20/2022,67,5,172,0.10332606,Copepod
9/20/2022,69,5,184,0.121471692,Copepod
9/20/2022,71,5,131,0.0537664,Copepod
9/20/2022,72,5,112,0.036919105,Copepod
9/20/2022,73,5,123,0.046223144,Copepod
9/20/2022,96,5,153,0.07802825,Copepod
9/20/2022,97,5,186,0.124663316,Copepod
10/13/2022,9,5,187,0.126277256,Copepod
10/13/2022,14,5,162,0.089496004,Copepod
10/13/2022,18,5,258,0.273308285,Copepod
10/13/2022,29,5,164,0.09216956,Copepod
10/13/2022,35,5,148,0.072050165,Copepod
10/13/2022,57,5,213,0.172567812,Copepod
10/13/2022,64,5,298,0.3862086,Copepod
3/25/2023,1,5,183,0.119893955,Copepod
3/25/2023,22,5,150,0.074408072,Copepod
3/25/2023,26,5,189,0.129541521,Copepod
3/25/2023,27,5,122,0.045326727,Copepod
3/25/2023,39,5,202,0.151955022,Copepod
3/25/2023,42,5,125,0.048046775,Copepod
3/25/2023,67,5,114,0.038520495,Copepod
3/25/2023,76,5,193,0.136216309,Copepod
3/25/2023,78,5,141,0.064143666,Copepod
3/25/2023,82,5,156,0.08174911,Copepod
3/25/2023,92,5,350,0.568062815,Copepod
3/25/2023,98,5,152,0.076810376,Copepod
5/16/2023,14,5,99,0.027460343,Copepod
5/16/2023,16,5,173,0.104773083,Copepod
5/16/2023,26,5,122,0.045326727,Copepod
5/16/2023,27,5,230,0.207473294,Copepod
5/16/2023,28,5,210,0.166794302,Copepod
5/16/2023,36,5,176,0.109184757,Copepod
5/16/2023,37,5,233,0.21402474,Copepod
5/16/2023,38,5,111,0.036133244,Copepod
5/16/2023,39,5,186,0.124663316,Copepod
5/16/2023,41,5,283,0.341202954,Copepod
5/16/2023,44,5,240,0.229775591,Copepod
5/16/2023,45,5,227,0.201040314,Copepod
5/16/2023,51,5,201,0.150156613,Copepod
5/16/2023,54,5,209,0.164895219,Copepod
5/16/2023,55,5,251,0.255855278,Copepod
5/16/2023,59,5,202,0.151955022,Copepod
5/16/2023,60,5,175,0.107702405,Copepod
5/16/2023,69,5,284,0.344102494,Copepod
5/16/2023,72,5,167,0.096266224,Copepod
5/16/2023,74,5,189,0.129541521,Copepod
5/16/2023,83,5,220,0.186487246,Copepod
5/16/2023,85,5,171,0.101890758,Copepod
5/16/2023,93,5,240,0.229775591,Copepod
6/21/2023,16,5,133,0.055756719,Copepod
6/21/2023,17,5,147,0.070887785,Copepod
6/21/2023,18,5,142,0.065240437,Copepod
6/21/2023,22,5,146,0.069736416,Copepod
6/21/2023,26,5,128,0.050859705,Copepod
6/21/2023,33,5,160,0.086868228,Copepod
6/21/2023,45,5,111,0.036133244,Copepod
6/21/2023,48,5,131,0.0537664,Copepod
6/21/2023,62,5,154,0.079257311,Copepod
6/21/2023,69,5,112,0.036919105,Copepod
6/21/2023,72,5,163,0.090827045,Copepod
6/21/2023,73,5,132,0.054756286,Copepod
6/21/2023,77,5,198,0.144836131,Copepod
6/21/2023,83,5,125,0.048046775,Copepod
6/21/2023,87,5,199,0.146597193,Copepod
6/21/2023,97,5,157,0.083011907,Copepod
8/24/2023,20,5,197,0.143087468,Copepod
8/24/2023,23,5,123,0.046223144,Copepod
8/24/2023,25,5,157,0.083011907,Copepod
8/24/2023,29,5,99,0.027460343,Copepod
8/24/2023,35,5,160,0.086868228,Copepod
8/24/2023,47,5,200,0.148370679,Copepod
8/24/2023,53,5,100,0.028130479,Copepod
8/24/2023,57,5,163,0.090827045,Copepod
8/24/2023,71,5,132,0.054756286,Copepod
8/24/2023,75,5,112,0.036919105,Copepod
8/24/2023,83,5,105,0.031623523,Copepod
8/24/2023,92,5,138,0.060918198,Copepod
8/24/2023,98,5,162,0.089496004,Copepod
9/20/2022,27,6,517,0.031783335,Rotifer
9/20/2022,36,6,604,0.050680239,Rotifer
10/13/2022,5,6,573,0.043270479,Rotifer
10/13/2022,8,6,606,0.051185354,Rotifer
10/13/2022,10,6,597,0.04893852,Rotifer
3/25/2023,79,6,235,0.002984911,Rotifer
5/16/2023,10,6,410,0.01585183,Rotifer
5/16/2023,13,6,206,0.002010618,Rotifer
5/16/2023,33,6,481,0.025595467,Rotifer
5/16/2023,34,6,321,0.007607517,Rotifer
5/16/2023,35,6,397,0.014391278,Rotifer
5/16/2023,47,6,199,0.001812538,Rotifer
5/16/2023,63,6,508,0.030152198,Rotifer
5/16/2023,80,6,208,0.00206975,Rotifer
6/21/2023,7,6,472,0.024185431,Rotifer
6/21/2023,13,6,159,0.000924526,Rotifer
6/21/2023,54,6,259,0.003996015,Rotifer
6/21/2023,74,6,265,0.004280214,Rotifer
8/24/2023,18,6,495,0.027896096,Rotifer
8/24/2023,28,6,515,0.031415901,Rotifer
8/24/2023,42,6,464,0.022976389,Rotifer
8/24/2023,46,6,472,0.024185431,Rotifer
8/24/2023,62,6,461,0.022533602,Rotifer
8/24/2023,70,6,27,4.52709E-06,Rotifer
8/24/2023,73,6,479,0.025277515,Rotifer
8/24/2023,87,6,486,0.026401989,Rotifer
8/24/2023,88,6,381,0.012720458,Rotifer
8/24/2023,89,6,570,0.04259439,Rotifer
8/24/2023,90,6,415,0.016438876,Rotifer
8/24/2023,96,6,392,0.013854346,Rotifer
9/20/2022,52,7,639,0.005218342,Rotifer
10/13/2022,1,7,526,0.002910632,Rotifer
10/13/2022,4,7,624,0.004859412,Rotifer
10/13/2022,27,7,414,0.001419159,Rotifer
10/13/2022,34,8,404,0.001978178,Rotifer
5/16/2023,87,8,237,0.000399362,Rotifer
5/16/2023,95,8,315,0.000937676,Rotifer
6/21/2023,8,8,328,0.001058627,Rotifer
6/21/2023,9,8,396,0.001862974,Rotifer
6/21/2023,19,8,323,0.001010948,Rotifer
6/21/2023,25,8,347,0.001253458,Rotifer
6/21/2023,27,8,382,0.001672289,Rotifer
6/21/2023,28,8,311,0.000902407,Rotifer
6/21/2023,29,8,342,0.001200051,Rotifer
6/21/2023,31,8,370,0.00151959,Rotifer
6/21/2023,36,8,367,0.001482926,Rotifer
6/21/2023,38,8,330,0.00107811,Rotifer
6/21/2023,40,8,357,0.001364979,Rotifer
6/21/2023,42,8,341,0.001189555,Rotifer
6/21/2023,43,8,322,0.001001587,Rotifer
6/21/2023,47,8,384,0.001698693,Rotifer
6/21/2023,50,8,297,0.000785942,Rotifer
6/21/2023,57,8,343,0.001210608,Rotifer
6/21/2023,59,8,370,0.00151959,Rotifer
6/21/2023,65,8,343,0.001210608,Rotifer
6/21/2023,66,8,365,0.001458814,Rotifer
6/21/2023,70,8,295,0.000770171,Rotifer
6/21/2023,71,8,333,0.001107781,Rotifer
6/21/2023,75,8,326,0.001039379,Rotifer
6/21/2023,78,8,360,0.00139968,Rotifer
6/21/2023,81,8,373,0.001556854,Rotifer
6/21/2023,84,8,420,0.00222264,Rotifer
6/21/2023,85,8,373,0.001556854,Rotifer
6/21/2023,86,8,351,0.001297307,Rotifer
6/21/2023,88,8,337,0.001148183,Rotifer
6/21/2023,89,8,319,0.000973853,Rotifer
6/21/2023,93,8,405,0.001992904,Rotifer
6/21/2023,94,8,321,0.000992285,Rotifer
6/21/2023,95,8,385,0.001711999,Rotifer
6/21/2023,96,8,349,0.001275256,Rotifer
6/21/2023,98,8,338,0.001158434,Rotifer
6/21/2023,99,8,352,0.001308426,Rotifer
6/21/2023,100,8,381,0.00165919,Rotifer
8/24/2023,58,8,374,0.001569409,Rotifer
9/20/2022,68,9,197,0.000152907,Rotifer
9/20/2022,70,9,198,0.000155248,Rotifer
9/20/2022,74,9,198,0.000155248,Rotifer
9/20/2022,75,9,204,0.000169793,Rotifer
9/20/2022,78,9,167,9.31493E-05,Rotifer
9/20/2022,79,9,227,0.000233942,Rotifer
9/20/2022,86,9,211,0.000187879,Rotifer
9/20/2022,89,9,151,6.8859E-05,Rotifer
9/20/2022,91,9,172,0.000101769,Rotifer
9/20/2022,92,9,222,0.000218821,Rotifer
9/20/2022,93,9,141,5.60644E-05,Rotifer
9/20/2022,94,9,211,0.000187879,Rotifer
9/20/2022,95,9,198,0.000155248,Rotifer
9/20/2022,98,9,204,0.000169793,Rotifer
10/13/2022,15,9,153,7.16315E-05,Rotifer
10/13/2022,16,9,152,7.02362E-05,Rotifer
10/13/2022,20,9,172,0.000101769,Rotifer
10/13/2022,23,9,157,7.73979E-05,Rotifer
10/13/2022,26,9,176,0.000109036,Rotifer
10/13/2022,28,9,185,0.000126633,Rotifer
10/13/2022,32,9,209,0.000182587,Rotifer
10/13/2022,38,9,177,0.000110905,Rotifer
10/13/2022,39,9,179,0.000114707,Rotifer
10/13/2022,40,9,186,0.000128697,Rotifer
10/13/2022,53,9,147,6.35305E-05,Rotifer
10/13/2022,72,9,203,0.000167309,Rotifer
10/13/2022,75,9,114,2.96309E-05,Rotifer
10/13/2022,81,9,174,0.00010536,Rotifer
10/13/2022,86,9,121,3.54312E-05,Rotifer
10/13/2022,93,9,173,0.000103554,Rotifer
10/13/2022,97,9,168,9.48326E-05,Rotifer
10/13/2022,98,9,156,7.59283E-05,Rotifer
3/25/2023,2,9,164,8.82189E-05,Rotifer
3/25/2023,16,9,143,5.84841E-05,Rotifer
3/25/2023,48,9,171,0.000100004,Rotifer
5/16/2023,53,9,147,6.35305E-05,Rotifer
5/16/2023,79,9,122,3.6317E-05,Rotifer
6/21/2023,2,9,167,9.31493E-05,Rotifer
6/21/2023,6,9,167,9.31493E-05,Rotifer
6/21/2023,10,9,189,0.000135025,Rotifer
6/21/2023,12,9,181,0.000118595,Rotifer
6/21/2023,14,9,149,6.6159E-05,Rotifer
6/21/2023,32,9,178,0.000112795,Rotifer
6/21/2023,37,9,124,3.81325E-05,Rotifer
6/21/2023,49,9,211,0.000187879,Rotifer
6/21/2023,51,9,206,0.000174836,Rotifer
6/21/2023,63,9,160,0.00008192,Rotifer
6/21/2023,68,9,217,0.000204366,Rotifer
6/21/2023,90,9,157,7.73979E-05,Rotifer
6/21/2023,91,9,130,0.00004394,Rotifer
8/24/2023,1,9,181,0.000118595,Rotifer
8/24/2023,2,9,204,0.000169793,Rotifer
8/24/2023,3,9,175,0.000107188,Rotifer
8/24/2023,6,9,178,0.000112795,Rotifer
8/24/2023,7,9,193,0.000143781,Rotifer
8/24/2023,8,9,197,0.000152907,Rotifer
8/24/2023,9,9,195,0.000148298,Rotifer
8/24/2023,10,9,205,0.000172303,Rotifer
8/24/2023,11,9,207,0.000177395,Rotifer
8/24/2023,12,9,175,0.000107188,Rotifer
8/24/2023,14,9,203,0.000167309,Rotifer
8/24/2023,15,9,201,0.000162412,Rotifer
8/24/2023,17,9,192,0.000141558,Rotifer
8/24/2023,19,9,188,0.000132893,Rotifer
8/24/2023,21,9,185,0.000126633,Rotifer
8/24/2023,22,9,200,0.00016,Rotifer
8/24/2023,24,9,185,0.000126633,Rotifer
8/24/2023,26,9,183,0.00012257,Rotifer
8/24/2023,27,9,199,0.000157612,Rotifer
8/24/2023,33,9,202,0.000164848,Rotifer
8/24/2023,36,9,169,9.65362E-05,Rotifer
8/24/2023,41,9,114,2.96309E-05,Rotifer
8/24/2023,43,9,197,0.000152907,Rotifer
8/24/2023,44,9,209,0.000182587,Rotifer
8/24/2023,45,9,185,0.000126633,Rotifer
8/24/2023,48,9,164,8.82189E-05,Rotifer
8/24/2023,49,9,182,0.000120571,Rotifer
8/24/2023,50,9,198,0.000155248,Rotifer
8/24/2023,51,9,176,0.000109036,Rotifer
8/24/2023,52,9,175,0.000107188,Rotifer
8/24/2023,54,9,169,9.65362E-05,Rotifer
8/24/2023,56,9,209,0.000182587,Rotifer
8/24/2023,60,9,186,0.000128697,Rotifer
8/24/2023,63,9,323,0.000673965,Rotifer
8/24/2023,64,9,173,0.000103554,Rotifer
8/24/2023,65,9,183,0.00012257,Rotifer
8/24/2023,66,9,169,9.65362E-05,Rotifer
8/24/2023,67,9,182,0.000120571,Rotifer
8/24/2023,69,9,189,0.000135025,Rotifer
8/24/2023,74,9,183,0.00012257,Rotifer
8/24/2023,78,9,182,0.000120571,Rotifer
8/24/2023,81,9,187,0.000130784,Rotifer
8/24/2023,84,9,188,0.000132893,Rotifer
8/24/2023,85,9,222,0.000218821,Rotifer
8/24/2023,86,9,2303,0.244293443,Rotifer
8/24/2023,91,9,185,0.000126633,Rotifer
8/24/2023,93,9,132,4.59994E-05,Rotifer
8/24/2023,95,9,199,0.000157612,Rotifer
8/24/2023,97,9,198,0.000155248,Rotifer
8/24/2023,99,9,222,0.000218821,Rotifer
9/20/2022,24,11,189,0.298158163,Mollusca
9/20/2022,32,11,277,0.665402503,Mollusca
9/20/2022,48,11,279,0.675531713,Mollusca
9/20/2022,85,11,157,0.201960383,Mollusca
9/20/2022,87,11,211,0.375724981,Mollusca
10/13/2022,13,11,282,0.690875899,Mollusca
10/13/2022,21,11,139,0.156389646,Mollusca
10/13/2022,33,11,182,0.275439886,Mollusca
10/13/2022,62,11,150,0.183513728,Mollusca
3/25/2023,46,11,116,0.10696426,Mollusca
3/25/2023,47,11,168,0.232823282,Mollusca
3/25/2023,74,11,260,0.582533554,Mollusca
3/25/2023,81,11,165,0.224178107,Mollusca
5/16/2023,19,11,197,0.325278973,Mollusca
5/16/2023,25,11,196,0.321821211,Mollusca
5/16/2023,40,11,145,0.170903013,Mollusca
5/16/2023,56,11,149,0.180953955,Mollusca
5/16/2023,57,11,162,0.215704123,Mollusca
5/16/2023,61,11,167,0.229922517,Mollusca
5/16/2023,64,11,130,0.135880756,Mollusca
5/16/2023,68,11,145,0.170903013,Mollusca
5/16/2023,84,11,163,0.218509782,Mollusca
5/16/2023,86,11,183,0.278627644,Mollusca
5/16/2023,88,11,119,0.112856229,Mollusca
5/16/2023,91,11,116,0.10696426,Mollusca
5/16/2023,96,11,197,0.325278973,Mollusca
5/16/2023,97,11,186,0.288306277,Mollusca
5/16/2023,99,11,200,0.335768465,Mollusca
5/16/2023,100,11,212,0.379474173,Mollusca
6/21/2023,3,11,183,0.278627644,Mollusca
6/21/2023,5,11,167,0.229922517,Mollusca
6/21/2023,23,11,100,0.078320764,Mollusca
6/21/2023,34,11,107,0.090278191,Mollusca
6/21/2023,35,11,126,0.1272492,Mollusca
6/21/2023,44,11,134,0.144809479,Mollusca
6/21/2023,46,11,129,0.133695043,Mollusca
6/21/2023,56,11,126,0.1272492,Mollusca
6/21/2023,58,11,121,0.11687623,Mollusca
6/21/2023,60,11,121,0.11687623,Mollusca
6/21/2023,64,11,144,0.168437252,Mollusca
6/21/2023,82,11,126,0.1272492,Mollusca
6/21/2023,92,11,146,0.173387551,Mollusca
8/24/2023,4,11,137,0.151701581,Mollusca
8/24/2023,13,11,148,0.178413009,Mollusca
8/24/2023,30,11,145,0.170903013,Mollusca
8/24/2023,32,11,106,0.088515481,Mollusca
8/24/2023,39,11,128,0.131527889,Mollusca
8/24/2023,55,11,133,0.142549389,Mollusca
8/24/2023,59,11,123,0.120969991,Mollusca
8/24/2023,68,11,148,0.178413009,Mollusca
8/24/2023,82,11,147,0.175890878,Mollusca
9/20/2022,5,12,606,0.115517063,Cladoceran
9/20/2022,13,12,918,0.350133923,Cladoceran
9/20/2022,18,12,618,0.12172603,Cladoceran
